"statepuma","stab","pumaname","dem12","rep12","dem16","rep16","propR12","propR16","changeinR","changeinpropR"
"0100301","AL","Huntsville (North) & Madison (East) Cities",62015,90884,62822,89520,0.594405457197235,0.587625211694739,-1364,-0.00678024550249534
"0100302","AL","Huntsville City (Central & South)",62015,90884,62822,89520,0.594405457197235,0.587625211694739,-1364,-0.00678024550249534
"0100900","AL","Etowah County",12803,29130,10442,32353,0.694679607946009,0.755999532655684,3223,0.061319924709675
"0101100","AL","Calhoun County",15511,30278,13242,32865,0.661250518683527,0.712798490467825,2587,0.0515479717842983
"0101200","AL","Shelby County",20051,71436,22977,73020,0.780832249390624,0.760648770274071,1584,-0.0201834791165527
"0101301","AL","Birmingham City (West)",159876,141683,156873,134768,0.469835090314002,0.462102379295092,-6915,-0.00773271101890932
"0101302","AL","Birmingham City (East)",159876,141683,156873,134768,0.469835090314002,0.462102379295092,-6915,-0.00773271101890932
"0101303","AL","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",159876,141683,156873,134768,0.469835090314002,0.462102379295092,-6915,-0.00773271101890932
"0101304","AL","Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",159876,141683,156873,134768,0.469835090314002,0.462102379295092,-6915,-0.00773271101890932
"0101305","AL","Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",159876,141683,156873,134768,0.469835090314002,0.462102379295092,-6915,-0.00773271101890932
"0101600","AL","Tuscaloosa & Northport (Southeast) Cities",32048,45748,31762,47723,0.588050799526968,0.600402591683965,1975,0.0123517921569976
"0101900","AL","Lee County--Auburn City",21381,32194,21230,34617,0.600914605692954,0.619854244632657,2423,0.0189396389397032
"0102000","AL","Montgomery City & Pike Road Town (North)",63085,38332,58916,34003,0.377964246625319,0.365942379922298,-4329,-0.0120218667030214
"0102600","AL","Baldwin County",18424,66016,18458,72883,0.78180956892468,0.797922072234812,6867,0.0161125033101321
"0102701","AL","Mobile City (East)",78760,94893,72186,95116,0.54645183210195,0.568528768335107,223,0.0220769362331561
"0102702","AL","Mobile City (West)",78760,94893,72186,95116,0.54645183210195,0.568528768335107,223,0.0220769362331561
"0102703","AL","Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City",78760,94893,72186,95116,0.54645183210195,0.568528768335107,223,0.0220769362331561
"0200101","AK","Anchorage Municipality (North)",3081,4544,4151,2187,0.595934426229508,0.345061533606816,-2357,-0.250872892622692
"0200102","AK","Anchorage Municipality (South)",3081,4544,4151,2187,0.595934426229508,0.345061533606816,-2357,-0.250872892622692
